#Parameters = {Er=4.4; IE=60; P1=0; P2=-49.398; P3=177.553; P4=36.514; PAA_FA_EXCITELIST=1; PAA_FA_FREQ=2.25; PAA_FA_SCANPHI=0; PAA_FA_SCANTHETA=0; PAA_UC_ANGLE=90; PAA_UC_DS1=60; PAA_UC_DS2=80; PAA_UC_PHI=0; PAA_UC_THETA=0; antx=41; anty=30.2; dumy=0; insx=1.5; insy=8; sbh=1.2; sbx=80; sby=80; trx=2.98}
#"Theta / deg"	"Gain,Phi=0.0 (502) []"
#-------------------------------------
75.000000000000	-5.7841799833492
76.000000000000	-6.0930837168213
77.000000000000	-6.3954909590730
78.000000000000	-6.6911435118228
79.000000000000	-6.9798437053776
80.000000000000	-7.2614516383746
81.000000000000	-7.5358813215380
82.000000000000	-7.8030958695761
83.000000000000	-8.0631019160373
84.000000000000	-8.3159434447083
85.000000000000	-8.5616952376913
86.000000000000	-8.8004561354651
87.000000000000	-9.0323422897435
88.000000000000	-9.2574805681292
89.000000000000	-9.4760022430738
90.000000000000	-9.6880212228074
91.000000000000	-9.8936928809475
92.000000000000	-10.093111373155
93.000000000000	-10.286371232610
94.000000000000	-10.473546820734
95.000000000000	-10.654689031472
96.000000000000	-10.829822542045
97.000000000000	-10.998943602761
98.000000000000	-11.162018362304
99.000000000000	-11.318981732722
100.00000000000	-11.469736809167
101.00000000000	-11.614154872237
102.00000000000	-11.752076014275
103.00000000000	-11.883310443816
104.00000000000	-12.007640533026
105.00000000000	-12.124823679654
106.00000000000	-12.234596056118
107.00000000000	-12.336677311843
108.00000000000	-12.430776279505
109.00000000000	-12.516597709862
110.00000000000	-12.593850022949
111.00000000000	-12.662254015695
112.00000000000	-12.721552409016
113.00000000000	-12.771520054027
114.00000000000	-12.811974551518
115.00000000000	-12.842786976983
116.00000000000	-12.863892351788
117.00000000000	-12.875299466408
118.00000000000	-12.877099650122
119.00000000000	-12.869474097619
120.00000000000	-12.852699408493
121.00000000000	-12.827151069192
122.00000000000	-12.793304703964
123.00000000000	-12.751735033786
124.00000000000	-12.703080726942
125.00000000000	-12.648180655065
126.00000000000	-12.587832277005
127.00000000000	-12.522954592161
128.00000000000	-12.454531697920
129.00000000000	-12.383602465324
130.00000000000	-12.311249944237
131.00000000000	-12.238590852105
132.00000000000	-12.166765443653
133.00000000000	-12.096927989625
134.00000000000	-12.030238017160
135.00000000000	-11.967852388068
136.00000000000	-11.910918217946
137.00000000000	-11.860566571143
138.00000000000	-11.817906804696
139.00000000000	-11.784021377852
140.00000000000	-11.759960890635
141.00000000000	-11.746739062335
