#Parameters = {Er=4.4; IE=60; P1=0; P2=167.923; P3=-130.636; P4=17.382; PAA_FA_EXCITELIST=1; PAA_FA_FREQ=2.25; PAA_FA_SCANPHI=0; PAA_FA_SCANTHETA=0; PAA_UC_ANGLE=90; PAA_UC_DS1=60; PAA_UC_DS2=80; PAA_UC_PHI=0; PAA_UC_THETA=0; antx=41; anty=30.2; dumy=0; insx=1.5; insy=8; sbh=1.2; sbx=80; sby=80; trx=2.98}
#"Theta / deg"	"Gain,Phi=0.0 (1) []"
#-----------------------------------
138.00000000000	-12.978292729565
139.00000000000	-12.938430367689
140.00000000000	-12.922437046062
141.00000000000	-12.930281782058
142.00000000000	-12.961989881495
143.00000000000	-13.017636397200
144.00000000000	-13.097338582892
145.00000000000	-13.201246657997
146.00000000000	-13.329532011141
147.00000000000	-13.482520889888
148.00000000000	-13.660068611864
149.00000000000	-13.862456290268
150.00000000000	-14.089721643127
151.00000000000	-14.341771461448
152.00000000000	-14.618314102702
153.00000000000	-14.918769914992
154.00000000000	-15.242153741872
155.00000000000	-15.586923355908
156.00000000000	-15.950788634300
157.00000000000	-16.330479854158
158.00000000000	-16.721481743332
159.00000000000	-17.117755682384
160.00000000000	-17.511498417047
161.00000000000	-17.893021927194
162.00000000000	-18.250878275716
163.00000000000	-18.572373892556
164.00000000000	-18.845740908755
165.00000000000	-19.056870833302
166.00000000000	-19.198390924151
167.00000000000	-19.266143385581
168.00000000000	-19.261300665518
169.00000000000	-19.190146497935
170.00000000000	-19.062909568927
171.00000000000	-18.892067309316
172.00000000000	-18.690636036298
173.00000000000	-18.470824302575
174.00000000000	-18.243192871510
175.00000000000	-18.016277188340
176.00000000000	-17.796539758801
177.00000000000	-17.588512081453
178.00000000000	-17.395017920965
179.00000000000	-17.217410229451
180.00000000000	-17.055991278334
#Parameters = {Er=4.4; IE=60; P1=0; P2=-63.142; P3=153.292; P4=143.298; PAA_FA_EXCITELIST=1; PAA_FA_FREQ=2.25; PAA_FA_SCANPHI=0; PAA_FA_SCANTHETA=0; PAA_UC_ANGLE=90; PAA_UC_DS1=60; PAA_UC_DS2=80; PAA_UC_PHI=0; PAA_UC_THETA=0; antx=41; anty=30.2; dumy=0; insx=1.5; insy=8; sbh=1.2; sbx=80; sby=80; trx=2.98}
#"Theta / deg"	"Gain,Phi=0.0 (2) []"
#-----------------------------------
-180.00000000000	-34.687214759619
-179.00000000000	-36.131044576687
-178.00000000000	-31.492461422861
-177.00000000000	-27.703266998949
-176.00000000000	-25.000132496498
-175.00000000000	-22.962611660072
-174.00000000000	-21.353257054946
-173.00000000000	-20.039743584649
-172.00000000000	-18.942793693978
-171.00000000000	-18.011626504685
-170.00000000000	-17.211893542019
-169.00000000000	-16.519316073499
-168.00000000000	-15.916102912783
-167.00000000000	-15.388817858437
-166.00000000000	-14.927048851128
-165.00000000000	-14.522543543797
-164.00000000000	-14.168628233436
-163.00000000000	-13.860215038481
-162.00000000000	-13.591924604067
-161.00000000000	-13.360218644967
-160.00000000000	-13.161703001208
-159.00000000000	-12.993396734245
-158.00000000000	-12.852643130948
-157.00000000000	-12.737040915353
-156.00000000000	-12.644390742676
-155.00000000000	-12.572653554116
-154.00000000000	-12.519918396988
-153.00000000000	-12.484378021536
-152.00000000000	-12.464311051897
-151.00000000000	-12.458069855915
-150.00000000000	-12.464073446169
-149.00000000000	-12.480804858800
-148.00000000000	-12.506812495953
-147.00000000000	-12.540714897507
-146.00000000000	-12.581294714070
-145.00000000000	-12.627229692687
-144.00000000000	-12.677428728910
-143.00000000000	-12.730885967141
-142.00000000000	-12.786716843093
-141.00000000000	-12.844167802874
-140.00000000000	-12.902623776062
-139.00000000000	-12.961612678804
-138.00000000000	-13.020806422834
-137.00000000000	-13.080018153429
-136.00000000000	-13.139195709528
-135.00000000000	-13.198411563941
-134.00000000000	-13.257849732899
-133.00000000000	-13.317790319547
-132.00000000000	-13.378592461205
-131.00000000000	-13.440676481566
-130.00000000000	-13.504506012214
-129.00000000000	-13.570570756099
-128.00000000000	-13.639370436687
-127.00000000000	-13.711400328806
-126.00000000000	-13.787138617948
-125.00000000000	-13.867035697214
-124.00000000000	-13.951505394375
-123.00000000000	-14.040825134200
-122.00000000000	-14.135495937578
